,Genome,mouse,numVariants,numKnownVariants,numEffects,genome_length,variant_rate,high_count,high_%,mod_count,mod_%,modif_count,modif_%,missense_count,missense_%,downstream_gene_variant_count,downstream_gene_variant_%,frameshift_variant_count,frameshift_variant_%,intergenic_region_count,intergenic_region_%,missense_variant_count,missense_variant_%,upstream_gene_variant_count,upstream_gene_variant_%,DOWNSTREAM_count,DOWNSTREAM_%,EXON_count,EXON_%,INTERGENIC_count,INTERGENIC_%,UPSTREAM_count,UPSTREAM_%,SNP,MNP,INS,DEL,MIXED,INV,DUP,BND,low_count,low_%,silent_count,silent_%,synonymous_variant_count,synonymous_variant_%,conservative_inframe_insertion_count,conservative_inframe_insertion_%,nonsense_count,nonsense_%,stop_gained_count,stop_gained_%
0,NC_017316.1_Enterococcus_faecalis_OG1RF_complete_genome_length_2739625,mouse_9_UNC2FT4146_NC_017316.html,5,0,52,"2,739,625","1 variant every 547,925 bases",1,1.923%,1,1.923%,50,96.154%,1,100%,25,48.077%,1,1.923%,3,5.769%,1,1.923%,22,42.308%,25,48.077%,2,3.846%,3,5.769%,22,42.308%,1,0,2,2,0,0,0,0,2.0,3.922%,2.0,50%,2.0,3.922%,1.0,71.429%,1.0,50%,1.0,3.448%
0,NC_017316.1_Enterococcus_faecalis_OG1RF_complete_genome_length_2739625,mouse_6_UNC2FT1102_NC_017316.html,4,0,42,"2,739,625","1 variant every 684,906 bases",1,1.923%,3,7.143%,39,92.857%,3,100%,14,33.333%,1,1.923%,1,2.381%,3,7.143%,24,57.143%,14,33.333%,3,7.143%,1,2.381%,24,57.143%,3,0,0,1,0,0,0,0,2.0,3.922%,2.0,50%,2.0,3.922%,1.0,71.429%,1.0,50%,1.0,3.448%
0,NC_017316.1_Enterococcus_faecalis_OG1RF_complete_genome_length_2739625,mouse_15_UNC2lu75_NC_017316.html,6,0,53,"2,739,625","1 variant every 456,604 bases",1,1.887%,1,1.887%,51,96.226%,1,100%,25,47.17%,1,1.887%,3,5.66%,1,1.887%,22,41.509%,25,47.17%,2,3.774%,3,5.66%,22,41.509%,1,0,3,2,0,0,0,0,2.0,3.922%,2.0,50%,2.0,3.922%,1.0,71.429%,1.0,50%,1.0,3.448%
0,NC_017316.1_Enterococcus_faecalis_OG1RF_complete_genome_length_2739625,mouse_14_UNC2FT55196_NC_017316.html,4,0,48,"2,739,625","1 variant every 684,906 bases",1,2.083%,2,4.167%,44,91.667%,2,66.667%,19,39.583%,1,2.083%,2,4.348%,2,4.167%,25,52.083%,19,39.583%,4,8.333%,2,4.348%,25,52.083%,3,0,1,0,0,0,0,0,1.0,2.083%,1.0,33.333%,1.0,2.083%,,,,,,
0,NC_017316.1_Enterococcus_faecalis_OG1RF_complete_genome_length_2739625,mouse_3_UNC2lu17_NC_017316.html,1,0,9,"2,739,625","1 variant every 2,739,625 bases",2,1.77%,1,11.111%,8,88.889%,1,100%,3,33.333%,2,1.77%,4,3.54%,1,11.111%,5,55.556%,3,33.333%,1,11.111%,4,3.54%,5,55.556%,1,0,0,0,0,0,0,0,1.0,2.5%,1.0,33.333%,1.0,2.5%,1.0,71.429%,1.0,16.667%,1.0,1.22%
0,NC_017316.1_Enterococcus_faecalis_OG1RF_complete_genome_length_2739625,mouse_13_UNC2FT55195_NC_017316.html,6,0,68,"2,739,625","1 variant every 456,604 bases",1,1.471%,2,2.941%,64,94.118%,2,66.667%,35,51.471%,1,1.471%,2,2.941%,2,2.941%,27,39.706%,35,51.471%,4,5.882%,2,2.941%,27,39.706%,3,0,1,2,0,0,0,0,1.0,1.471%,1.0,33.333%,1.0,1.471%,,,,,,
0,NC_017316.1_Enterococcus_faecalis_OG1RF_complete_genome_length_2739625,mouse_14_UNC2FT7546A_NC_017316.html,6,0,65,"2,739,625","1 variant every 456,604 bases",3,4.615%,1,1.923%,59,90.769%,1,100%,28,43.077%,3,4.615%,4,7.692%,1,1.923%,31,47.692%,28,43.077%,6,9.231%,4,7.692%,31,47.692%,3,0,2,1,0,0,0,0,3.0,4.615%,3.0,100%,3.0,4.615%,,,,,,
0,NC_017316.1_Enterococcus_faecalis_OG1RF_complete_genome_length_2739625,mouse_10_UNC2FT55192_NC_017316.html,2,0,21,"2,739,625","1 variant every 1,369,812 bases",2,2.667%,1,4.762%,19,90.476%,1,50%,8,38.095%,2,2.667%,2,4.348%,1,4.762%,11,52.381%,8,38.095%,2,9.524%,2,4.348%,11,52.381%,2,0,0,0,0,0,0,0,1.0,4.762%,1.0,50%,1.0,4.762%,,,,,,
0,NC_017316.1_Enterococcus_faecalis_OG1RF_complete_genome_length_2739625,mouse_8_UNC2FT4145_NC_017316.html,2,0,15,"2,739,625","1 variant every 1,369,812 bases",2,1.77%,1,6.667%,14,93.333%,1,100%,8,53.333%,2,1.77%,1,6.667%,1,6.667%,5,33.333%,8,53.333%,1,6.667%,1,6.667%,5,33.333%,1,0,1,0,0,0,0,0,1.0,2.5%,1.0,33.333%,1.0,2.5%,1.0,71.429%,1.0,16.667%,1.0,1.22%
0,NC_017316.1_Enterococcus_faecalis_OG1RF_complete_genome_length_2739625,mouse_11_UNC2FT128_NC_017316.html,8,0,75,"2,739,625","1 variant every 342,453 bases",2,2.667%,3,4%,67,89.333%,3,50%,29,38.667%,2,2.667%,2,4.348%,3,4%,38,50.667%,29,38.667%,8,10.667%,2,4.348%,38,50.667%,6,0,1,1,0,0,0,0,3.0,4%,3.0,50%,3.0,4%,,,,,,
