,Start,End,Protein_ID,Gene,Product,Strand
0,0,2463,['WP_001264707.1'],['thrA'],['bifunctional aspartate kinase/homoserine dehydrogenase I'],1
1,2464,3397,['WP_000241659.1'],['thrB'],['homoserine kinase'],1
2,3397,4684,['WP_000781043.1'],['thrC'],['threonine synthase'],1
3,4897,5194,['WP_000738730.1'],,['DUF2502 domain-containing protein'],1
4,5243,6020,['WP_000906188.1'],['yaaA'],['peroxide stress protein YaaA'],-1
5,6089,7520,['WP_001112565.1'],,['sodium:alanine symporter family protein'],-1
6,7798,8752,['WP_000130187.1'],['tal'],['transaldolase'],1
7,8866,9454,['WP_001094685.1'],['mog'],['molybdopterin adenylyltransferase'],1
8,9658,10225,['WP_000528533.1'],['satP'],['acetate uptake transporter'],-1
9,10373,11087,['WP_001102393.1'],['msyB'],['acidic protein MsyB'],-1
10,11112,11517,['WP_000843689.1'],,['DUF2541 family protein'],-1
11,11888,13805,['WP_000516135.1'],['dnaK'],['molecular chaperone DnaK'],1
12,13893,15024,['WP_001118464.1'],['dnaJ'],['molecular chaperone DnaJ'],1
13,15128,15281,['WP_000809168.1'],,['type I toxin-antitoxin system toxin MokC'],-1
14,15895,16657,['WP_001274832.1'],,['hypothetical protein'],1
15,16676,18170,['WP_001443162.1'],,['sulfatase-like hydrolase/transferase'],1
16,18298,19558,['WP_000494928.1'],,['hypothetical protein'],1
17,19792,20959,['WP_000681841.1'],['nhaA'],['Na+/H+ antiporter NhaA'],1
18,21018,21924,['WP_000062878.1'],['nhaR'],['transcriptional activator NhaR'],1
19,22019,22283,['WP_001274021.1'],['rpsT'],['30S ribosomal protein S20'],-1
20,22385,22604,['WP_001332590.1'],,['DUF2575 family protein'],1
21,22611,23553,['WP_000767329.1'],['ribF'],['bifunctional riboflavin kinase/FAD synthetase'],1
22,23595,26412,['WP_001286823.1'],['ileS'],['isoleucine--tRNA ligase'],1
23,26411,26906,['WP_000083369.1'],['lspA'],['signal peptidase II'],1
24,27013,27463,['WP_000004655.1'],['fkpB'],['FKBP-type peptidyl-prolyl cis-trans isomerase'],1
25,27464,28415,['WP_001166429.1'],['ispH'],['4-hydroxy-3-methylbut-2-enyl diphosphate reductase'],1
26,28480,29395,['WP_001239171.1'],['rihC'],['ribonucleoside hydrolase RihC'],1
27,29417,29783,['WP_000220882.1'],,['DUF805 domain-containing protein'],1
28,29943,30765,['WP_000543585.1'],['dapB'],['4-hydroxy-tetrahydrodipicolinate reductase'],1
29,31220,32369,['WP_001298633.1'],['carA'],['glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit'],1
30,32386,35608,['WP_001126335.1'],['carB'],['carbamoyl-phosphate synthase large subunit'],1
31,35868,36264,['WP_000333104.1'],['caiF'],['carnitine metabolism transcriptional regulator CaiF'],1
