,Start,End,Protein_ID,Gene,Product,Strand
0,0,2109,,,['rIIA protein'],-1
1,2123,2381,,,['hypothetical protein'],-1
2,2392,2587,,,['hypothetical protein'],-1
3,2579,2774,,,['hypothetical protein'],-1
4,2840,3176,,,['hypothetical protein'],-1
5,3198,3762,,,['HNH endonuclease'],-1
6,3763,5587,,,['topoisomerase II large subunit'],-1
7,5686,5860,,,['zinc ribbon domain-containing protein '],-1
8,5861,6530,,,['DexA exonuclease A'],-1
9,6531,6774,,,['hypothetical protein'],-1
10,6775,6943,,,['hypothetical protein'],-1
11,6953,8345,,,['DNA helicase'],-1
12,8344,8659,,,['hypothetical protein'],-1
13,8658,9414,,,['putative anti-sigma factor Srd'],-1
14,9475,9979,,,['ModB ADP-ribosylase'],-1
15,10048,10567,,,['gp56 dCTPase'],-1
16,10581,11610,,,['gp61 DNA primase subunit'],-1
17,11619,11823,,,['hypothetical protein'],-1
18,11819,11978,,,['hypothetical membrane protein'],-1
19,11970,12147,,,['major capsid protein'],-1
20,12143,12521,,,['hypothetical protein'],-1
21,12551,13187,,,['hypothetical protein'],-1
22,13237,14650,,,['DNA primase-helicase subunit'],-1
23,14646,14964,,,['head vertex assembly chaperone'],-1
24,15019,16090,,,['UvsX'],-1
25,16101,16326,,,['hypothetical protein'],-1
26,16351,19030,,,['DNA polymerase'],-1
27,19112,19475,,,['RegA'],-1
28,19476,20055,,,['gp62 clamp loader subunit DNA polymerase accessory protein'],-1
29,20054,21029,,,['gp44 clamp-loader subunit '],-1
30,21094,21781,,,['gp45 sliding clamp DNA polymerase accessory protein'],-1
31,21811,22189,,,['hypothetical protein'],-1
32,22193,22571,,,['RpbA'],-1
33,22601,22745,,,['hypothetical protein'],-1
34,22818,24501,,,['recombination endonuclease subunit'],-1
35,24481,24745,,,['hypothetical protein'],-1
36,24741,25314,,,['hypothetical protein'],-1
37,25288,25606,,,['hypothetical protein'],-1
38,25602,25854,,,['hypothetical protein'],-1
39,25908,26934,,,['recombination endonuclease subunit'],-1
40,27024,27312,,,['hypothetical protein'],-1
41,27313,27547,,,['hypothetical protein'],-1
42,27530,28064,,,['sigma factor for T4 late transcription'],-1
43,28104,29574,,,['putative helicase'],-1
44,29573,29861,,,['hypothetical protein'],-1
45,29882,30041,,,['hypothetical membrane protein'],-1
46,30030,30300,,,['glutaredoxin'],-1
47,30296,30773,,,['hypothetical protein'],-1
48,30774,31599,,,['hypothetical protein'],-1
49,31611,32076,,,['hypothetical protein'],-1
50,32087,32609,,,['hypothetical protein'],-1
51,32619,33123,,,"['ribonucleoside-triphosphate reductase activating, anaerobc']",-1
52,33112,33265,,,['hypothetical protein'],-1
53,33340,33868,,,['hypothetical protein'],-1
54,33885,34428,,,['hypothetical protein'],-1
55,34528,36391,,,"['ribonucleoside-triphosphate reductase, anaerobic']",-1
56,36435,36930,,,['hypothetical protein'],-1
57,36984,38163,,,['hypothetical protein'],-1
58,38219,38786,,,['hypothetical protein'],-1
59,38800,39073,,,['hypothetical protein'],-1
60,39136,39610,,,['recombination endonuclease VII'],-1
61,39634,39916,,,['glutaredoxin'],-1
62,39924,40737,,,['adenine-specific DNA methyltransferase'],-1
63,40736,41168,,,['hypothetical protein'],-1
64,41178,41472,,,['hypothetical protein'],-1
65,41464,41686,,,['hypothetical protein'],-1
66,41678,41972,,,['hypothetical protein'],-1
67,41986,42331,,,['hypothetical protein'],-1
68,42364,42673,,,['hypothetical membrane protein'],-1
69,42683,42962,,,['hypothetical protein'],-1
70,43082,43292,,,['hypothetical protein'],-1
71,43311,43650,,,['hypothetical protein'],-1
72,43649,43910,,,['hypothetical protein'],-1
73,43928,44126,,,['hypothetical protein'],-1
74,44115,44370,,,['hypothetical protein'],-1
75,44366,44801,,,['hypothetical protein'],-1
76,44811,45009,,,['hypothetical protein'],-1
77,45019,45310,,,['hypothetical protein'],-1
78,45411,46197,,,['phage tail fiber adhesin Gp38'],-1
79,46251,46473,,,['hypothetical protein'],-1
80,46561,46846,,,['hypothetical protein'],-1
81,46842,47193,,,['hypothetical protein'],-1
82,47189,47528,,,['hypothetical protein'],-1
83,47517,47727,,,['hypothetical protein'],-1
84,48055,48454,,,['hypothetical protein'],-1
85,48440,48743,,,['rI lysis inhibition regulator'],-1
86,48811,49408,,,['thymidine kinase'],-1
87,49407,49701,,,['hypothetical membrane protein'],-1
88,49693,49912,,,['hypothetical protein'],-1
89,49908,50103,,,['hypothetical protein'],-1
90,50092,50548,,,['macro domain protein'],-1
91,50563,50923,,,['valyl-tRNA synthetase modifier '],-1
92,50930,51521,,,['lytic transglycosylase domain-containing protein'],-1
93,51606,52029,,,['RegB site-specific RNA endonuclease'],-1
94,52030,52369,,,['hypothetical protein'],-1
95,52429,52675,,,['hypothetical protein'],-1
96,52671,52866,,,['hypothetical protein'],-1
97,52887,53586,,,['NrdC.11'],-1
98,53672,54089,,,['autonomous glycyl radical cofactor'],-1
99,54099,54225,,,['hypothetical protein'],-1
100,54224,54710,,,['hypothetical protein'],-1
101,54772,55162,,,['D-alanyl-D-alanine carboxypeptidase'],-1
102,55190,55382,,,['hypothetical membrane protein'],-1
