,Start,End,Protein_ID,Gene,Product,Strand
0,61,325,,,['SSU ribosomal protein S17p (S11e)'],1
1,365,734,,,['LSU ribosomal protein L14p (L23e)'],1
2,772,1084,,,['LSU ribosomal protein L24p (L26e)'],1
3,1110,1650,,,['LSU ribosomal protein L5p (L11e)'],1
4,1676,1862,,,"['SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-dependent']",1
5,1892,2291,,,['SSU ribosomal protein S8p (S15Ae)'],1
6,2319,2856,,,['LSU ribosomal protein L6p (L9e)'],1
7,2888,3251,,,['LSU ribosomal protein L18p (L5e)'],1
8,3278,3782,,,['SSU ribosomal protein S5p (S2e)'],1
9,3794,3977,,,['LSU ribosomal protein L30p (L7e)'],1
10,4006,4447,,,['LSU ribosomal protein L15p (L27Ae)'],1
11,4446,5739,,,['Protein translocase subunit SecY'],1
12,5772,6423,,,['Adenylate kinase (EC 2.7.4.3)'],1
13,6423,7170,,,['Methionine aminopeptidase (EC 3.4.11.18)'],1
14,7191,7515,,,['L14e-like protein'],1
15,7507,7726,,,['Translation initiation factor 1'],1
16,7758,7872,,,"['LSU ribosomal protein L36p @ LSU ribosomal protein L36p, zinc-dependent']",1
17,7896,8262,,,['SSU ribosomal protein S13p (S18e)'],1
18,8287,8683,,,['SSU ribosomal protein S11p (S14e)'],1
19,8848,9793,,,['DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)'],1
20,9835,10201,,,['LSU ribosomal protein L17p'],1
21,11096,11924,,,['ATPase component of general energizing module of ECF transporters'],1
22,11899,12766,,,['ATPase component of general energizing module of ECF transporters'],1
23,12762,13560,,,['Transmembrane component of general energizing module of ECF transporters'],1
24,13668,14406,,,['tRNA pseudouridine(38-40) synthase (EC 5.4.99.12)'],1
25,14592,15888,,,['Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)'],1
26,16026,17559,,,['IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)'],1
27,17799,18237,,,['LSU ribosomal protein L13p (L13Ae)'],1
28,18262,18655,,,['SSU ribosomal protein S9p (S16e)'],1
29,18815,19361,,,['conserved hypothetical protein'],1
30,19601,21551,,,['Type III restriction-modification system methylation subunit (EC 2.1.1.72)'],1
31,21553,24259,,,['Type III restriction-modification system DNA endonuclease res (EC 3.1.21.5)'],1
32,24664,25432,,,['Mobile element protein'],-1
