,Start,End,Protein_ID,Gene,Product,Strand
0,0,1503,['WP_007051767.1'],['dnaA'],['chromosomal replication initiator protein DnaA'],1
1,2238,3363,['WP_007051765.1'],['dnaN'],['DNA polymerase III subunit beta'],1
2,3390,4629,['WP_007054593.1'],,['DNA replication/repair protein RecF'],1
3,4625,5096,['WP_007051763.1'],,['DUF721 domain-containing protein'],1
4,5228,7367,['WP_173361534.1'],['gyrB'],['DNA topoisomerase (ATP-hydrolyzing) subunit B'],1
5,7434,10086,['WP_007051761.1'],['gyrA'],['DNA gyrase subunit A'],1
6,10155,10722,['WP_007051760.1'],,['DUF3566 domain-containing protein'],1
7,11405,12119,['WP_007051759.1'],,['hypothetical protein'],1
8,12115,13702,['WP_007054589.1'],,['pectinesterase'],1
9,14099,15446,['WP_007051757.1'],['gdhA'],['NADP-specific glutamate dehydrogenase'],-1
10,15764,16199,['WP_007051756.1'],,['Lrp/AsnC family transcriptional regulator'],-1
11,16404,17739,['WP_007056527.1'],,['pyridoxal phosphate-dependent aminotransferase'],1
12,18249,18585,['WP_007051753.1'],,['hypothetical protein'],1
13,18598,19447,['WP_013582287.1'],,['hypothetical protein'],1
14,20714,20972,,,['transposase'],-1
15,21386,22397,['WP_114555269.1'],,['IS30 family transposase'],-1
16,22517,23279,['WP_013582291.1'],['istB'],['IS21-like element helper ATPase IstB'],-1
17,23275,24733,['WP_013582292.1'],['istA'],['IS21 family transposase'],-1
18,24876,25107,,,['IS30 family transposase'],-1
19,25216,26287,['WP_196768203.1'],,['AAA family ATPase'],-1
20,26379,27186,['WP_007054570.1'],,['M48 family metallopeptidase'],1
21,27282,27648,['WP_007051744.1'],,['hypothetical protein'],1
22,27906,29220,['WP_013582295.1'],,['ATP-binding protein'],-1
23,29454,29934,['WP_007051742.1'],,['DNA starvation/stationary phase protection protein'],-1
24,30030,31374,['WP_013582296.1'],,['HlyC/CorC family transporter'],-1
25,31633,32317,['WP_007056544.1'],,['carbonic anhydrase'],-1
26,32522,33086,['WP_007056578.1'],['ahpC'],['peroxiredoxin'],1
27,33254,35171,['WP_007056574.1'],,['FAD-dependent oxidoreductase'],1
28,35287,36574,['WP_007051737.1'],,['OFA family MFS transporter'],-1
