,Start,End,Protein_ID,Gene,Product,Strand
0,0,3110044,,,['virulence-associated protein E'],-1
1,955,1631,,,['DNA primase'],-1
2,1678,3095,,,['MobA/MobL family protein'],-1
3,3154,3472,['WP_008816380.1'],,['DUF3847 domain-containing protein'],-1
4,3758,3962,['WP_004614949.1'],,['hypothetical protein'],-1
5,4109,4334,['WP_005362423.1'],,['helix-turn-helix domain-containing protein'],-1
6,4636,5677,['WP_008816376.1'],,['hypothetical protein'],1
7,5933,8426,['WP_005936006.1'],,['FtsX-like permease family protein'],-1
8,8443,9109,['WP_005936003.1'],,['ABC transporter ATP-binding protein'],-1
9,9330,10362,['WP_005936000.1'],,['HAMP domain-containing histidine kinase'],-1
10,10358,11051,['WP_005935996.1'],,['response regulator transcription factor'],-1
11,11270,11639,['WP_005935994.1'],,['helix-turn-helix transcriptional regulator'],1
12,11829,12159,['WP_005935991.1'],['mobC'],['plasmid mobilization relaxosome protein MobC'],1
13,12119,13448,['WP_005935989.1'],,['relaxase/mobilization nuclease domain-containing protein'],1
14,13559,14453,['WP_005935984.1'],,['Bro-N domain-containing protein'],1
15,14473,14689,['WP_005935981.1'],,['hypothetical protein'],1
16,14806,15007,['WP_005935975.1'],,['transposon-transfer assisting family protein'],-1
17,15010,15937,['WP_005935972.1'],,['hypothetical protein'],-1
18,15958,19153,['WP_005935968.1'],,['DUF4316 domain-containing protein'],-1
19,19251,21375,['WP_005935077.1'],,['type IA DNA topoisomerase'],-1
20,21371,22094,['WP_005935079.1'],,['DUF4366 domain-containing protein'],-1
21,22083,22335,['WP_005935081.1'],,['DUF4315 family protein'],-1
22,22353,24339,['WP_099357165.1'],,['C40 family peptidase'],-1
23,24335,25232,['WP_005935086.1'],['dcm'],['DNA (cytosine-5-)-methyltransferase'],-1
24,25228,27631,['WP_099357166.1'],,['conjugal transfer protein TraE'],-1
25,27557,27983,['WP_078784923.1'],,['PrgI family protein'],-1
26,28003,28306,['WP_005935090.1'],,['hypothetical protein'],-1
27,28381,30213,,,['group II intron reverse transcriptase/maturase'],-1
28,30788,31454,['WP_005933770.1'],,['hypothetical protein'],-1
29,31557,31722,,,['hypothetical protein'],-1
30,31740,33348,['WP_005933734.1'],,['recombinase family protein'],-1
31,33482,33674,['WP_005946147.1'],,['transposon-encoded TnpW family protein'],-1
32,33686,34526,['WP_099357167.1'],,['ATP-binding protein'],-1
