,Start,End,Protein_ID,Gene,Product,Strand
0,52,328,,,['hypothetical protein'],1
1,449,581,,,['hypothetical protein'],1
2,642,831,,,['hypothetical transmembrane protein'],1
3,915,1323,,,['hypothetical protein'],1
4,1450,1687,,,['hypothetical protein'],1
5,1772,2390,,,['hypothetical protein'],1
6,2410,2584,,,['hypothetical protein'],1
7,2763,3147,,,['hypothetical protein'],1
8,3266,3545,,,['hypothetical protein'],1
9,3636,4050,,,['hypothetical protein'],1
10,4157,4349,,,['hypothetical protein'],1
11,4345,4549,,,['hypothetical protein'],1
12,5106,5322,,,['hypothetical protein'],1
13,5534,5681,,,['hypothetical protein'],1
14,5696,5921,,,['hypothetical protein'],1
15,6013,6322,,,['hypothetical protein'],1
16,6394,6535,,,['hypothetical protein'],1
17,6623,6890,,,['hypothetical protein'],1
18,7070,7283,,,['hypothetical protein'],-1
19,7356,7671,,,['hypothetical protein'],-1
20,7684,7909,,,['hypothetical transmembrane protein'],-1
21,7909,8128,,,['hypothetical protein'],-1
22,8128,8356,,,['hypothetical protein'],-1
23,8357,8591,,,['hypothetical protein'],-1
24,8658,9177,,,['NADAR family protein'],-1
25,9237,9570,,,['hypothetical protein'],-1
26,9560,9758,,,['hypothetical protein'],-1
27,9757,9922,,,['hypothetical protein'],-1
28,9976,11221,,,['tRNA-splicing ligase RtcB'],-1
29,11213,11402,,,['hypothetical protein'],-1
30,11490,12231,,,['hypothetical protein'],-1
31,12230,12443,,,['hypothetical protein'],-1
32,12444,13185,,,['hypothetical protein'],-1
33,13184,13427,,,['hypothetical protein'],-1
34,13428,13806,,,['hypothetical protein'],-1
35,13805,14657,,,['hypothetical protein'],-1
36,14653,14968,,,['NAD-dependent DNA ligase'],-1
37,14971,15250,,,['putative helix-turn-helix transcriptional regulator'],-1
38,15339,15681,,,['hypothetical protein'],-1
39,15680,16055,,,['hypothetical protein'],-1
40,16068,16299,,,['hypothetical protein'],-1
41,16310,16607,,,['hypothetical protein'],-1
42,16606,17053,,,['hypothetical protein'],-1
43,17241,17640,,,['hypothetical protein'],-1
44,17632,17896,,,['hypothetical protein'],-1
45,17971,19606,,,['hypothetical protein'],-1
46,19621,19942,,,['hypothetical protein'],-1
47,20015,20756,,,['Serine/threonine protein phosphatase'],-1
48,20755,21013,,,['hypothetical protein'],-1
49,21009,21618,,,['putative phosphoesterase'],-1
50,21614,22190,,,['putative phosphoesterase'],-1
51,22190,22721,,,"[""putative 3'-5' exoribonuclease""]",-1
52,22751,23102,,,['DUF3307 domain-containing protein'],-1
53,23101,23326,,,['hypothetical protein'],-1
54,23328,23583,,,['hypothetical protein'],-1
55,23583,23796,,,['DUF1642 domain protein'],-1
56,23798,24221,,,['hypothetical protein'],-1
57,24217,24460,,,['hypothetical lipoprotein'],-1
58,24492,24726,,,['hypothetical protein'],-1
59,24731,24908,,,['hypothetical protein'],-1
60,24921,25485,,,['hypothetical protein'],-1
