,Start,End,Protein_ID,Gene,Product,Strand
0,2,1442,,,"['Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)']",1
1,1933,5161,,,['hypothetical protein'],1
2,5176,8800,,,['hypothetical protein'],1
3,8861,10133,,,['UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alani ne ligase (EC 6.3.2.10)'],-1
4,10193,11837,,,['GldJ'],-1
5,12366,13557,,,['FIG00650346: hypothetical protein'],1
6,13576,14062,,,['Cytidine deaminase (EC 3.5.4.5)'],1
7,14300,15302,,,['Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)'],1
8,15304,16918,,,['Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)'],1
9,17075,18032,,,['Aminopeptidase'],1
10,18128,18809,,,"['Oxidoreductase, short-chain dehydrogenase/reductase family']",1
11,18830,19427,,,['FIG00650290: hypothetical protein'],1
12,19460,20540,,,['Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13)'],1
13,20547,21975,,,['Integral membrane protein'],1
14,21988,22756,,,['Phospholipid ABC transporter ATP-binding protein MlaF'],-1
15,22755,23493,,,['Phospholipid ABC transporter permease protein MlaE'],-1
16,23595,25236,,,['Alkaline phosphatase (EC 3.1.3.1); Type I phosphodiesterase/nucleotide pyrophosphatase precursor'],1
17,25241,26072,,,['DNA/RNA non-specific endonuclease'],1
18,26068,26926,,,['Glycosyltransferase'],-1
19,26927,27455,,,['FIG00652927: hypothetical protein'],-1
20,27504,28341,,,[''],-1
21,28342,29401,,,"['3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)']",-1
22,29568,32418,,,['Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)'],-1
23,32651,33482,,,['FIG00649036: hypothetical protein'],1
24,33515,33929,,,[''],1
25,33964,36001,,,['Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5)'],-1
26,36127,36385,,,[''],1
27,36443,36923,,,['N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18)'],-1
28,36932,38093,,,['N5-carboxyaminoimidazole ribonucleotide synthase (EC 6.3.4.18)'],-1
29,38178,39348,,,['Adenylate kinase (EC 2.7.4.3)'],1
30,39381,40389,,,['GTP-binding protein Obg'],1
31,40499,41186,,,['TPR repeat precursor'],1
32,41198,42551,,,['Amino acid ligase similar to peptidoglycan synthetases'],1
33,42547,43168,,,['transcriptional regulator protein'],-1
34,43186,43636,,,['hypothetical protein'],-1
35,43682,44381,,,['UPF0758 family protein'],1
36,44382,45669,,,['FIG00650676: hypothetical protein'],1
37,45665,46355,,,"[""Pyrimidine 5'-nucleotidase YjjG (EC 3.1.3.5)""]",1
38,46376,47123,,,['hypothetical protein'],1
39,47155,48433,,,['Replication-associated recombination protein RarA'],-1
40,48515,49271,,,['FIG00553124: hypothetical protein'],1
41,49272,50007,,,"[""23S rRNA (guanosine(2251)-2'-O)-methyltransferase (EC 2.1.1.185)""]",-1
42,50102,50792,,,[''],1
43,51245,52721,,,"['Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family']",-1
44,52732,55969,,,"['Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family']",-1
45,57098,57479,,,['SSU ribosomal protein S12p (S23e)'],1
46,57503,57980,,,['SSU ribosomal protein S7p (S5e)'],1
47,57989,60116,,,['Translation elongation factor G'],1
48,60127,60433,,,['SSU ribosomal protein S10p (S20e)'],1
49,60617,61235,,,['LSU ribosomal protein L3p (L3e)'],1
50,61234,61864,,,['LSU ribosomal protein L4p (L1e)'],1
51,61870,62161,,,['LSU ribosomal protein L23p (L23Ae)'],1
52,62174,62999,,,['LSU ribosomal protein L2p (L8e)'],1
53,63009,63288,,,['SSU ribosomal protein S19p (S15e)'],1
54,63297,63705,,,['LSU ribosomal protein L22p (L17e)'],1
55,63713,64442,,,['SSU ribosomal protein S3p (S3e)'],1
56,64461,64881,,,['LSU ribosomal protein L16p (L10e)'],1
57,64891,65083,,,['LSU ribosomal protein L29p (L35e)'],1
58,65100,65358,,,['SSU ribosomal protein S17p (S11e)'],1
59,65360,65729,,,['LSU ribosomal protein L14p (L23e)'],1
60,65741,66053,,,['LSU ribosomal protein L24p (L26e)'],1
61,66055,66607,,,['LSU ribosomal protein L5p (L11e)'],1
62,66608,66878,,,"['SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-independent']",1
63,66937,67336,,,['SSU ribosomal protein S8p (S15Ae)'],1
64,67353,67896,,,['LSU ribosomal protein L6p (L9e)'],1
65,67907,68264,,,['LSU ribosomal protein L18p (L5e)'],1
66,68270,68792,,,['SSU ribosomal protein S5p (S2e)'],1
67,68810,68990,,,['LSU ribosomal protein L30p (L7e)'],1
68,69004,69457,,,['LSU ribosomal protein L15p (L27Ae)'],1
69,69466,70804,,,['Protein translocase subunit SecY'],1
70,70818,71034,,,['Translation initiation factor 1'],1
71,71164,71539,,,['SSU ribosomal protein S13p (S18e)'],1
72,71550,71943,,,['SSU ribosomal protein S11p (S14e)'],1
73,72025,72631,,,"['SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-independent']",1
