,Start,End,Protein_ID,Gene,Product,Strand
0,58,1402,['WP_002356013.1'],['dnaA'],['chromosomal replication initiator protein DnaA'],1
1,1603,2734,['WP_002414124.1'],['dnaN'],['DNA polymerase III subunit beta'],1
2,3312,3558,['WP_002356015.1'],['yaaA'],['S4 domain-containing protein YaaA'],1
3,3544,4672,['WP_002356016.1'],['recF'],['DNA replication/repair protein RecF'],1
4,4668,6618,['WP_002359210.1'],['gyrB'],['DNA topoisomerase (ATP-hydrolyzing) subunit B'],1
5,6673,9175,['WP_002379833.1'],['gyrA'],['DNA gyrase subunit A'],1
6,9349,9652,['WP_002356019.1'],,['30S ribosomal protein S6'],1
7,9696,10263,['WP_002364599.1'],['ssb'],['single-stranded DNA-binding protein'],1
8,10288,10528,['WP_002356021.1'],,['30S ribosomal protein S18'],1
9,10684,12709,['WP_002363542.1'],,['DHH family phosphoesterase'],1
10,12714,13167,['WP_002356023.1'],['rplI'],['50S ribosomal protein L9'],1
11,13439,14807,['WP_002381331.1'],['dnaB'],['replicative DNA helicase'],1
12,15044,16337,['WP_002359213.1'],,['adenylosuccinate synthase'],1
13,16461,17331,['WP_002359214.1'],,['DegV family protein'],1
14,17726,19358,['WP_002356027.1'],,['ATP-binding cassette domain-containing protein'],-1
15,19610,22496,['WP_002370598.1'],,['sigma-54-dependent transcriptional regulator'],1
16,22698,23211,['WP_002385473.1'],,['PTS sugar transporter subunit IIB'],1
17,23445,24438,['WP_002356030.1'],['manX'],['PTS sugar transporter subunit IIB'],1
18,24472,25276,['WP_002356031.1'],,['PTS mannose/fructose/sorbose transporter subunit IIC'],1
19,25298,26210,['WP_002356032.1'],,['PTS mannose/fructose/sorbose transporter family subunit IID'],1
20,26371,26749,['WP_002356033.1'],,['DUF956 family protein'],1
21,26996,27524,['WP_002356034.1'],,['DUF308 domain-containing protein'],1
22,27570,27774,['WP_002381332.1'],,['hypothetical protein'],-1
23,27971,28742,['WP_002414412.1'],,['MurR/RpiR family transcriptional regulator'],1
24,28890,30459,['WP_002378674.1'],['malX'],['PTS maltose transporter subunit IICB'],1
25,30473,31688,['WP_014524928.1'],,['pyridoxal phosphate-dependent aminotransferase'],1
26,31787,32168,['WP_033591767.1'],,['RidA family protein'],1
27,32359,34951,['WP_002414160.1'],['mprF'],['bifunctional lysylphosphatidylglycerol flippase/synthetase MprF'],1
28,36276,38892,['WP_002413969.1'],,['YfhO family protein'],-1
29,39435,39945,['WP_002356044.1'],,['ClbS/DfsB family four-helix bundle protein'],-1
30,39952,40420,['WP_002381334.1'],,['VOC family protein'],-1
31,40484,41432,['WP_002385468.1'],,['YafY family transcriptional regulator'],1
32,41523,42777,['WP_002385467.1'],,['glutamate-5-semialdehyde dehydrogenase'],-1
33,42763,43615,['WP_002356048.1'],['proB'],['glutamate 5-kinase'],-1
34,43898,44384,['WP_002361472.1'],,['dUTP diphosphatase'],1
35,44462,45833,['WP_002356050.1'],['radA'],['DNA repair protein RadA'],1
36,45936,47082,['WP_002368622.1'],,['PIN/TRAM domain-containing protein'],1
37,47100,47574,['WP_002367570.1'],,"['2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase']",1
38,47626,49084,['WP_002389540.1'],,['glutamate--tRNA ligase'],1
39,49353,49893,['WP_002356054.1'],['cysE'],['serine O-acetyltransferase'],1
40,49885,51298,['WP_002413970.1'],,['cysteine--tRNA ligase'],1
41,51294,51693,['WP_002356056.1'],,['Mini-ribonuclease 3'],1
