,Start,End,Protein_ID,Gene,Product,Strand
0,9,1416,['WP_005839492.1'],['dnaA'],['chromosomal replication initiator protein DnaA'],1
1,1500,2241,['WP_011964587.1'],,['NADPH-dependent oxidoreductase'],-1
2,2584,5131,['WP_011964588.1'],,['adenosylcobalamin-dependent ribonucleoside-diphosphate reductase'],1
3,5223,8196,['WP_011964589.1'],,['membrane protein'],-1
4,8357,8726,['WP_005851200.1'],['folB'],['dihydroneopterin aldolase'],1
5,8872,9754,['WP_005851198.1'],,['radical SAM protein'],-1
6,9841,10867,['WP_005851196.1'],,['glycosyltransferase family 2 protein'],-1
7,10902,12219,['WP_005845018.1'],['mtaB'],['tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))- methylthiotransferase MtaB'],-1
8,12324,13998,['WP_005851194.1'],,['long-chain fatty acid--CoA ligase'],1
9,14158,14359,['WP_005841181.1'],,['hypothetical protein'],1
10,14513,15206,['WP_005841180.1'],,['hypothetical protein'],1
11,15275,15719,['WP_005841179.1'],,['50S ribosomal protein L9'],-1
12,15734,16004,['WP_005841178.1'],,['30S ribosomal protein S18'],-1
13,16006,16351,['WP_005841177.1'],,['30S ribosomal protein S6'],-1
14,16560,17007,['WP_005841174.1'],,['MarR family transcriptional regulator'],1
15,17115,17298,['WP_005851190.1'],,['hypothetical protein'],1
16,17373,18072,['WP_005841169.1'],,['response regulator transcription factor'],-1
17,18073,19642,['WP_005841165.1'],,['HAMP domain-containing histidine kinase'],-1
18,19904,22064,['WP_005841163.1'],,['elongation factor G'],-1
19,22249,23380,['WP_005841160.1'],['hemW'],['radical SAM family heme chaperone HemW'],1
20,23517,23709,['WP_032938224.1'],,['hypothetical protein'],1
21,23752,24991,,,['carboxypeptidase-like regulatory domain-containing protein'],1
22,25012,25918,['WP_016270147.1'],,['IS982 family transposase'],-1
23,26026,27442,,,['TonB-dependent receptor'],1
24,27448,28435,['WP_005844658.1'],,['DUF4249 domain-containing protein'],1
25,28547,29114,['WP_005844655.1'],,['RNA polymerase sigma-70 factor'],1
26,29169,29577,['WP_005844653.1'],,['hypothetical protein'],1
27,29603,30494,['WP_005844651.1'],,['FecR domain-containing protein'],1
28,30501,33177,['WP_005844649.1'],,['TonB-dependent receptor'],1
29,33183,34215,['WP_005844647.1'],,['DUF4249 domain-containing protein'],1
30,34246,36184,['WP_011964592.1'],,['9-O-acetylesterase'],-1
31,36211,38257,['WP_011964593.1'],,['alpha-glucuronidase'],-1
32,38253,40848,['WP_011964594.1'],,['glycosyl hydrolase 115 family protein'],-1
33,40860,42444,['WP_011964595.1'],,['glycosyl hydrolase 43 family protein'],-1
34,42452,44960,['WP_032945992.1'],,['family 43 glycosylhydrolase'],-1
35,45196,49249,['WP_032945988.1'],,['response regulator'],1
36,49720,51334,['WP_005839678.1'],,['IS66-like element ISBvu4 family transposase'],-1
37,51402,51912,['WP_008671451.1'],['tnpB'],['IS66 family insertion sequence element accessory protein TnpB'],-1
38,52179,54114,['WP_011964599.1'],,['RagB/SusD family nutrient uptake outer membrane protein'],-1
39,54128,57200,['WP_011964600.1'],,['TonB-dependent receptor'],-1
40,57241,58978,['WP_008782291.1'],,['glycoside hydrolase family 43 protein'],-1
41,59327,60299,['WP_008670185.1'],,['glycoside hydrolase family 43 protein'],-1
42,60311,61433,['WP_008670188.1'],,"['endo-1,4-beta-xylanase']",-1
43,61645,62611,['WP_011964601.1'],,['IS110 family transposase'],1
44,62781,64275,['WP_008782290.1'],,['MFS transporter'],-1
45,64602,65394,['WP_005851178.1'],,['glycoside hydrolase family 16 protein'],-1
46,65509,66415,['WP_016270147.1'],,['IS982 family transposase'],1
47,66522,67911,['WP_005842943.1'],['glmM'],['phosphoglucosamine mutase'],-1
48,67907,68543,['WP_005842946.1'],,['DUF4827 domain-containing protein'],-1
49,68625,69666,['WP_005842948.1'],,['bifunctional oligoribonuclease/PAP phosphatase NrnA'],-1
50,69715,71635,['WP_032946439.1'],,['ComEC/Rec2 family competence protein'],-1
51,71681,72335,['WP_005842952.1'],,['ribulose-phosphate 3-epimerase'],-1
52,72410,73706,['WP_005842954.1'],,['porin family protein'],-1
53,73708,74251,['WP_005851170.1'],,['sigma-70 family RNA polymerase sigma factor'],-1
54,74408,75191,['WP_011964603.1'],,['NigD-like N-terminal domain-containing protein'],1
55,75263,76238,['WP_005851165.1'],,['methionyl-tRNA formyltransferase'],-1
56,76251,78054,['WP_005842960.1'],,['chloride channel protein'],-1
57,78062,78638,['WP_005842961.1'],,['threonylcarbamoyl-AMP synthase'],-1
58,78804,79968,['WP_011964604.1'],['nagA'],['N-acetylglucosamine-6-phosphate deacetylase'],-1
59,80058,83235,['WP_005851161.1'],,['efflux RND transporter permease subunit'],-1
60,83231,84719,['WP_007839821.1'],,['TolC family protein'],-1
61,84705,87786,['WP_011964605.1'],,['efflux RND transporter permease subunit'],-1
62,87790,88858,['WP_011964606.1'],,['efflux RND transporter periplasmic adaptor subunit'],-1
